;precision;recall;f1-score;support
art;0,7283950617283951;0,59;0,6519337016574586;100,0
gaming;0,7052631578947368;0,7362637362637363;0,7204301075268817;91,0
memberships;0,6637931034482759;0,7623762376237624;0,7096774193548387;101,0
music;0,8850574712643678;0,8191489361702128;0,850828729281768;94,0
pfps;0,6910569105691057;0,85;0,7623318385650224;100,0
photography;0,85;0,8673469387755102;0,8585858585858585;98,0
virtual-worlds;0,8181818181818182;0,6631578947368421;0,7325581395348837;95,0
accuracy;0,7555228276877761;0,7555228276877761;0,7555228276877761;0,7555228276877761
macro avg;0,7631067890123856;0,7554705347957232;0,7551922563581017;679,0
weighted avg;0,7619881046724158;0,7555228276877761;0,754603020783133;679,0
