;precision;recall;f1-score;support
art;0,6976744186046512;0,6;0,6451612903225806;100,0
gaming;0,6067415730337079;0,5934065934065934;0,6;91,0
memberships;0,6923076923076923;0,7128712871287128;0,7024390243902439;101,0
music;0,8404255319148937;0,8404255319148937;0,8404255319148938;94,0
pfps;0,6974789915966386;0,83;0,7579908675799087;100,0
photography;0,8113207547169812;0,8775510204081632;0,8431372549019608;98,0
virtual-worlds;0,7530864197530864;0,6421052631578947;0,6931818181818182;95,0
accuracy;0,7290132547864506;0,7290132547864506;0,7290132547864506;0,7290132547864506
macro avg;0,7284336259896645;0,7280513851451796;0,726047969613058;679,0
weighted avg;0,7285781221326666;0,7290132547864506;0,726570369604313;679,0
