;precision;recall;f1-score;support
art;0,7272727272727273;0,56;0,632768361581921;100,0
gaming;0,59375;0,6263736263736264;0,6096256684491979;91,0
memberships;0,6486486486486487;0,7128712871287128;0,679245283018868;101,0
music;0,9176470588235294;0,8297872340425532;0,871508379888268;94,0
pfps;0,7073170731707317;0,87;0,7802690582959642;100,0
photography;0,8823529411764706;0,9183673469387755;0,9;98,0
virtual-worlds;0,7294117647058823;0,6526315789473685;0,688888888888889;95,0
accuracy;0,7393225331369662;0,7393225331369662;0,7393225331369662;0,7393225331369662
macro avg;0,7437714591139987;0,7385758676330053;0,7374722343033012;679,0
weighted avg;0,7437809616636585;0,7393225331369662;0,7377756753394887;679,0
