;precision;recall;f1-score;support
art;0,7108433734939759;0,59;0,644808743169399;100,0
gaming;0,6122448979591837;0,6593406593406593;0,6349206349206349;91,0
memberships;0,660377358490566;0,693069306930693;0,6763285024154589;101,0
music;0,8863636363636364;0,8297872340425532;0,8571428571428571;94,0
pfps;0,6583333333333333;0,79;0,7181818181818183;100,0
photography;0,8725490196078431;0,9081632653061225;0,89;98,0
virtual-worlds;0,7195121951219512;0,6210526315789474;0,6666666666666667;95,0
accuracy;0,727540500736377;0,727540500736377;0,727540500736377;0,727540500736377
macro avg;0,73146054491007;0,727344728171282;0,726864174642405;679,0
weighted avg;0,7312396375270981;0,727540500736377;0,7268199919906079;679,0
