;precision;recall;f1-score;support
art;0,6582278481012658;0,52;0,5810055865921788;100,0
gaming;0,6185567010309279;0,6593406593406593;0,6382978723404256;91,0
memberships;0,6435643564356436;0,6435643564356436;0,6435643564356436;101,0
music;0,8181818181818182;0,8617021276595744;0,839378238341969;94,0
pfps;0,656;0,82;0,7288888888888888;100,0
photography;0,8775510204081632;0,8775510204081632;0,8775510204081631;98,0
virtual-worlds;0,7625;0,6421052631578947;0,6971428571428572;95,0
accuracy;0,7172312223858616;0,7172312223858616;0,7172312223858616;0,7172312223858616
macro avg;0,719225963451117;0,7177519181431335;0,7151184028785895;679,0
weighted avg;0,7187894484728011;0,7172312223858616;0,7145871572368218;679,0
