;precision;recall;f1-score;support
art;0,7341772151898734;0,58;0,6480446927374302;100,0
gaming;0,67;0,7362637362637363;0,7015706806282723;91,0
memberships;0,6481481481481481;0,693069306930693;0,6698564593301435;101,0
music;0,898876404494382;0,851063829787234;0,8743169398907104;94,0
pfps;0,6752136752136753;0,79;0,728110599078341;100,0
photography;0,8018867924528302;0,8673469387755102;0,8333333333333334;98,0
virtual-worlds;0,7125;0,6;0,6514285714285715;95,0
accuracy;0,7304860088365243;0,7304860088365243;0,7304860088365243;0,7304860088365243
macro avg;0,734400319356987;0,7311062588224532;0,729523039489543;679,0
weighted avg;0,7336359936467851;0,7304860088365243;0,7287954886792374;679,0
