;precision;recall;f1-score;support
art;0,8;0,52;0,6303030303030304;100,0
gaming;0,59;0,6483516483516484;0,6178010471204188;91,0
memberships;0,6517857142857143;0,7227722772277227;0,6854460093896715;101,0
music;0,8695652173913043;0,851063829787234;0,8602150537634409;94,0
pfps;0,6567164179104478;0,88;0,7521367521367521;100,0
photography;0,8529411764705882;0,8877551020408163;0,87;98,0
virtual-worlds;0,8108108108108109;0,631578947368421;0,7100591715976332;95,0
accuracy;0,7349042709867453;0,7349042709867453;0,7349042709867453;0,7349042709867453
macro avg;0,7474027624098378;0,7345031149679775;0,732280152044421;679,0
weighted avg;0,7474910039614568;0,7349042709867453;0,7323560483591043;679,0
