;precision;recall;f1-score;support
art;0,7647058823529411;0,52;0,6190476190476191;100,0
gaming;0,6153846153846154;0,7032967032967034;0,6564102564102564;91,0
memberships;0,6396396396396397;0,7029702970297029;0,669811320754717;101,0
music;0,8666666666666667;0,8297872340425532;0,8478260869565217;94,0
pfps;0,7086614173228346;0,9;0,7929515418502202;100,0
photography;0,8712871287128713;0,8979591836734694;0,8844221105527638;98,0
virtual-worlds;0,7564102564102564;0,6210526315789474;0,6820809248554913;95,0
accuracy;0,7393225331369662;0,7393225331369662;0,7393225331369662;0,7393225331369662
macro avg;0,7461079437842608;0,7392951499459108;0,7360785514896556;679,0
weighted avg;0,7461739517094015;0,7393225331369662;0,7360101615444762;679,0
