;precision;recall;f1-score;support
art;0,7088607594936709;0,56;0,6256983240223464;100,0
gaming;0,5865384615384616;0,6703296703296703;0,6256410256410256;91,0
memberships;0,6339285714285714;0,7029702970297029;0,6666666666666666;101,0
music;0,9176470588235294;0,8297872340425532;0,871508379888268;94,0
pfps;0,7232142857142857;0,81;0,7641509433962265;100,0
photography;0,8365384615384616;0,8877551020408163;0,8613861386138615;98,0
virtual-worlds;0,7108433734939759;0,6210526315789474;0,6629213483146067;95,0
accuracy;0,7260677466863034;0,7260677466863034;0,7260677466863034;0,7260677466863034
macro avg;0,7310815674329937;0,7259849907173842;0,725424689506143;679,0
weighted avg;0,731044187742548;0,7260677466863034;0,7254296771606291;679,0
