;precision;recall;f1-score;support
art;0,5567010309278351;0,54;0,5482233502538071;100,0
gaming;0,6511627906976745;0,6153846153846154;0,632768361581921;91,0
memberships;0,5140845070422535;0,7227722772277227;0,6008230452674896;101,0
music;0,9146341463414634;0,7978723404255319;0,8522727272727272;94,0
pfps;0,6106194690265486;0,69;0,647887323943662;100,0
photography;0,8953488372093024;0,7857142857142857;0,8369565217391304;98,0
virtual-worlds;0,7808219178082192;0,6;0,6785714285714285;95,0
accuracy;0,678939617083947;0,678939617083947;0,678939617083947;0,678939617083947
macro avg;0,7033389570076138;0,6788205026788793;0,6853575369471666;679,0
weighted avg;0,7007485672379741;0,678939617083947;0,6840585818911267;679,0
