;precision;recall;f1-score;support
art;0,5612244897959183;0,55;0,5555555555555555;100,0
gaming;0,6511627906976745;0,6153846153846154;0,632768361581921;91,0
memberships;0,5177304964539007;0,7227722772277227;0,6033057851239669;101,0
music;0,9146341463414634;0,7978723404255319;0,8522727272727272;94,0
pfps;0,6052631578947368;0,69;0,6448598130841122;100,0
photography;0,8823529411764706;0,7653061224489796;0,8196721311475409;98,0
virtual-worlds;0,7945205479452054;0,6105263157894737;0,6904761904761905;95,0
accuracy;0,678939617083947;0,678939617083947;0,678939617083947;0,678939617083947
macro avg;0,7038412243293386;0,6788373816109033;0,6855586520345734;679,0
weighted avg;0,7012091441982092;0,678939617083947;0,6842328208789038;679,0
