;precision;recall;f1-score;support
art;0,5384615384615384;0,56;0,5490196078431373;100,0
gaming;0,6585365853658537;0,5934065934065934;0,6242774566473989;91,0
memberships;0,5409836065573771;0,6534653465346535;0,5919282511210763;101,0
music;0,918918918918919;0,723404255319149;0,8095238095238095;94,0
pfps;0,5433070866141733;0,69;0,6079295154185023;100,0
photography;0,8255813953488372;0,7244897959183674;0,7717391304347825;98,0
virtual-worlds;0,6428571428571429;0,5684210526315789;0,6033519553072626;95,0
accuracy;0,6450662739322534;0,6450662739322534;0,6450662739322534;0,6450662739322534
macro avg;0,6669494677319774;0,6447410062586203;0,6511099608994241;679,0
weighted avg;0,6643590864980147;0,6450662739322534;0,6499749968723751;679,0
