;precision;recall;f1-score;support
art;0,5789473684210527;0,55;0,5641025641025641;100,0
gaming;0,6588235294117647;0,6153846153846154;0,6363636363636365;91,0
memberships;0,5483870967741935;0,6732673267326733;0,6044444444444443;101,0
music;0,9259259259259259;0,7978723404255319;0,8571428571428572;94,0
pfps;0,5867768595041323;0,71;0,6425339366515836;100,0
photography;0,8539325842696629;0,7755102040816326;0,8128342245989305;98,0
virtual-worlds;0,7380952380952381;0,6526315789473685;0,6927374301675978;95,0
accuracy;0,6818851251840943;0,6818851251840943;0,6818851251840943;0,6818851251840943
macro avg;0,69869837177171;0,6820951522245461;0,6871655847816591;679,0
weighted avg;0,6962502778463833;0,6818851251840943;0,6858039297812077;679,0
