;precision;recall;f1-score;support
art;0,5773195876288659;0,56;0,5685279187817258;100,0
gaming;0,6329113924050633;0,5494505494505495;0,5882352941176472;91,0
memberships;0,5106382978723404;0,7128712871287128;0,5950413223140495;101,0
music;0,9036144578313253;0,7978723404255319;0,8474576271186441;94,0
pfps;0,5619834710743802;0,68;0,6153846153846154;100,0
photography;0,9113924050632911;0,7346938775510204;0,8135593220338984;98,0
virtual-worlds;0,759493670886076;0,631578947368421;0,689655172413793;95,0
accuracy;0,6671575846833578;0,6671575846833578;0,6671575846833578;0,6671575846833578
macro avg;0,693907611823049;0,6666381431320338;0,6739801817377675;679,0
weighted avg;0,6914695495299206;0,6671575846833578;0,6729409582074285;679,0
