;precision;recall;f1-score;support
art;0,5544554455445545;0,56;0,5572139303482587;100,0
gaming;0,6829268292682927;0,6153846153846154;0,6473988439306357;91,0
memberships;0,5036496350364964;0,6831683168316832;0,5798319327731093;101,0
music;0,9259259259259259;0,7978723404255319;0,8571428571428572;94,0
pfps;0,559322033898305;0,66;0,6055045871559633;100,0
photography;0,8888888888888888;0,7346938775510204;0,8044692737430168;98,0
virtual-worlds;0,7468354430379747;0,6210526315789474;0,6781609195402298;95,0
accuracy;0,6671575846833578;0,6671575846833578;0,6671575846833578;0,6671575846833578
macro avg;0,6945720288000626;0,6674531116816854;0,67567462066201;679,0
weighted avg;0,6914436197100772;0,6671575846833578;0,6739070346285126;679,0
