;precision;recall;f1-score;support
art;0,5148514851485149;0,52;0,5174129353233831;100,0
gaming;0,6707317073170732;0,6043956043956044;0,6358381502890174;91,0
memberships;0,5303030303030303;0,693069306930693;0,6008583690987124;101,0
music;0,8974358974358975;0,7446808510638298;0,813953488372093;94,0
pfps;0,5078125;0,65;0,5701754385964912;100,0
photography;0,875;0,7142857142857143;0,7865168539325842;98,0
virtual-worlds;0,717948717948718;0,5894736842105263;0,6473988439306358;95,0
accuracy;0,6450662739322534;0,6450662739322534;0,6450662739322534;0,6450662739322534
macro avg;0,6734404768790334;0,6451293086980525;0,653164868506131;679,0
weighted avg;0,6703647901405211;0,6450662739322534;0,6515463536274498;679,0
