;precision;recall;f1-score;support
art;0,5229357798165137;0,57;0,5454545454545454;100,0
gaming;0,6744186046511628;0,6373626373626373;0,655367231638418;91,0
memberships;0,5373134328358209;0,7128712871287128;0,6127659574468085;101,0
music;0,9333333333333333;0,7446808510638298;0,8284023668639054;94,0
pfps;0,525;0,63;0,5727272727272728;100,0
photography;0,8470588235294118;0,7346938775510204;0,7868852459016393;98,0
virtual-worlds;0,7;0,5157894736842106;0,593939393939394;95,0
accuracy;0,6494845360824743;0,6494845360824743;0,6494845360824743;0,6494845360824743
macro avg;0,6771514248808918;0,6493425895414873;0,6565060019959975;679,0
weighted avg;0,6740492279242132;0,6494845360824743;0,6550144044288891;679,0
