;precision;recall;f1-score;support
art;0,5142857142857142;0,54;0,5268292682926828;100,0
gaming;0,6451612903225806;0,6593406593406593;0,6521739130434783;91,0
memberships;0,576271186440678;0,6732673267326733;0,6210045662100457;101,0
music;0,9594594594594594;0,7553191489361702;0,8452380952380952;94,0
pfps;0,5573770491803278;0,68;0,6126126126126127;100,0
photography;0,8111111111111111;0,7448979591836735;0,7765957446808511;98,0
virtual-worlds;0,6753246753246753;0,5473684210526316;0,6046511627906976;95,0
accuracy;0,6568483063328424;0,6568483063328424;0,6568483063328424;0,6568483063328424
macro avg;0,6769986408749352;0,6571705021779726;0,6627293375526377;679,0
weighted avg;0,6743936168341528;0,6568483063328424;0,6612873339630653;679,0
