;precision;recall;f1-score;support
art;0,5288461538461539;0,55;0,5392156862745098;100,0
gaming;0,6162790697674418;0,5824175824175825;0,5988700564971752;91,0
memberships;0,5190839694656488;0,6732673267326733;0,5862068965517241;101,0
music;0,9146341463414634;0,7978723404255319;0,8522727272727272;94,0
pfps;0,5714285714285714;0,68;0,6210045662100457;100,0
photography;0,9113924050632911;0,7346938775510204;0,8135593220338984;98,0
virtual-worlds;0,7564102564102564;0,6210526315789474;0,6820809248554913;95,0
accuracy;0,6627393225331369;0,6627393225331369;0,6627393225331369;0,6627393225331369
macro avg;0,6882963674746897;0,662757679815108;0,6704585970993673;679,0
weighted avg;0,6858429876341896;0,6627393225331369;0,6691697124089141;679,0
