;precision;recall;f1-score;support
art;0,5157894736842106;0,49;0,5025641025641027;100,0
gaming;0,6483516483516484;0,6483516483516484;0,6483516483516484;91,0
memberships;0,5403225806451613;0,6633663366336634;0,5955555555555556;101,0
music;0,8860759493670886;0,7446808510638298;0,8092485549132947;94,0
pfps;0,5158730158730159;0,65;0,5752212389380531;100,0
photography;0,875;0,7142857142857143;0,7865168539325842;98,0
virtual-worlds;0,6666666666666666;0,5894736842105263;0,6256983240223464;95,0
accuracy;0,6421207658321061;0,6421207658321061;0,6421207658321061;0,6421207658321061
macro avg;0,6640113335125416;0,6428797477921975;0,6490223254682264;679,0
weighted avg;0,6614334347197697;0,6421207658321061;0,6473033901188403;679,0
