;precision;recall;f1-score;support
art;0,56;0,56;0,56;100,0
gaming;0,6170212765957447;0,6373626373626373;0,627027027027027;91,0
memberships;0,5179856115107914;0,7128712871287128;0,5999999999999999;101,0
music;0,9146341463414634;0,7978723404255319;0,8522727272727272;94,0
pfps;0,6090909090909091;0,67;0,638095238095238;100,0
photography;0,8941176470588236;0,7755102040816326;0,8306010928961749;98,0
virtual-worlds;0,8115942028985508;0,5894736842105263;0,6829268292682926;95,0
accuracy;0,6774668630338734;0,6774668630338734;0,6774668630338734;0,6774668630338734
macro avg;0,703491970499469;0,6775843076012915;0,6844175592227799;679,0
weighted avg;0,7011416233948722;0,6774668630338734;0,6831510685080008;679,0
