;precision;recall;f1-score;support
art;0,5445544554455446;0,55;0,5472636815920399;100,0
gaming;0,6555555555555556;0,6483516483516484;0,6519337016574586;91,0
memberships;0,48905109489051096;0,6633663366336634;0,5630252100840336;101,0
music;0,9036144578313253;0,7978723404255319;0,8474576271186441;94,0
pfps;0,5855855855855856;0,65;0,6161137440758293;100,0
photography;0,8690476190476191;0,7448979591836735;0,8021978021978022;98,0
virtual-worlds;0,7945205479452054;0,6105263157894737;0,6904761904761905;95,0
accuracy;0,6656848306332842;0,6656848306332842;0,6656848306332842;0,6656848306332842
macro avg;0,6917041880430493;0,666430657197713;0,6740668510288569;679,0
weighted avg;0,6887328394701266;0,6656848306332842;0,672166267004239;679,0
