;precision;recall;f1-score;support
art;0,5567010309278351;0,54;0,5482233502538071;100,0
gaming;0,6222222222222222;0,6153846153846154;0,6187845303867403;91,0
memberships;0,5555555555555556;0,6435643564356436;0,5963302752293579;101,0
music;0,9078947368421053;0,7340425531914894;0,8117647058823529;94,0
pfps;0,552;0,69;0,6133333333333333;100,0
photography;0,7888888888888889;0,7244897959183674;0,7553191489361704;98,0
virtual-worlds;0,6547619047619048;0,5789473684210527;0,6145251396648046;95,0
accuracy;0,646539027982327;0,646539027982327;0,646539027982327;0,646539027982327
macro avg;0,6625749055997874;0,6466326699073098;0,651182926240938;679,0
weighted avg;0,6604698582514975;0,646539027982327;0,6500757962281515;679,0
