;precision;recall;f1-score;support
art;0,59375;0,57;0,5816326530612245;100,0
gaming;0,6129032258064516;0,6263736263736264;0,6195652173913044;91,0
memberships;0,5555555555555556;0,6435643564356436;0,5963302752293579;101,0
music;0,9036144578313253;0,7978723404255319;0,8474576271186441;94,0
pfps;0,584070796460177;0,66;0,6197183098591549;100,0
photography;0,851063829787234;0,8163265306122449;0,8333333333333334;98,0
virtual-worlds;0,7228915662650602;0,631578947368421;0,6741573033707866;95,0
accuracy;0,6774668630338734;0,6774668630338734;0,6774668630338734;0,6774668630338734
macro avg;0,6891213473865434;0,6779594001736383;0,6817421027662579;679,0
weighted avg;0,68731384014137;0,6774668630338734;0,6805854437538376;679,0
