;precision;recall;f1-score;support
art;0,5824175824175825;0,53;0,5549738219895288;100,0
gaming;0,6041666666666666;0,6373626373626373;0,6203208556149733;91,0
memberships;0,5546218487394958;0,6534653465346535;0,6000000000000001;101,0
music;0,926829268292683;0,8085106382978723;0,8636363636363636;94,0
pfps;0,5862068965517241;0,68;0,6296296296296295;100,0
photography;0,8586956521739131;0,8061224489795918;0,8315789473684211;98,0
virtual-worlds;0,7349397590361446;0,6421052631578947;0,6853932584269663;95,0
accuracy;0,678939617083947;0,678939617083947;0,678939617083947;0,678939617083947
macro avg;0,692553953411173;0,6796523334760928;0,6836475538094119;679,0
weighted avg;0,6906506973892133;0,678939617083947;0,6823246798193868;679,0
