;precision;recall;f1-score;support
art;0,6095238095238096;0,64;0,624390243902439;100,0
gaming;0,6382978723404256;0,6593406593406593;0,6486486486486486;91,0
memberships;0,5503875968992248;0,7029702970297029;0,6173913043478262;101,0
music;0,896551724137931;0,8297872340425532;0,861878453038674;94,0
pfps;0,7058823529411765;0,72;0,712871287128713;100,0
photography;0,9146341463414634;0,7653061224489796;0,8333333333333334;98,0
virtual-worlds;0,7875;0,6631578947368421;0,72;95,0
accuracy;0,711340206185567;0,711340206185567;0,711340206185567;0,711340206185567
macro avg;0,7289682145977187;0,7115088867998195;0,7169304671999477;679,0
weighted avg;0,7274482744134433;0,711340206185567;0,716042626099521;679,0
