;precision;recall;f1-score;support
art;0,65625;0,63;0,6428571428571429;100,0
gaming;0,6274509803921569;0,7032967032967034;0,6632124352331606;91,0
memberships;0,5514705882352942;0,7425742574257426;0,6329113924050633;101,0
music;0,9080459770114943;0,8404255319148937;0,87292817679558;94,0
pfps;0,7128712871287128;0,72;0,7164179104477613;100,0
photography;0,9523809523809523;0,8163265306122449;0,8791208791208791;98,0
virtual-worlds;0,821917808219178;0,631578947368421;0,7142857142857143;95,0
accuracy;0,7260677466863034;0,7260677466863034;0,7260677466863034;0,7260677466863034
macro avg;0,7471982276239697;0,7263145672311436;0,7316762358779002;679,0
weighted avg;0,745921272891838;0,7260677466863034;0,7308838368179572;679,0
