;precision;recall;f1-score;support
art;0,5925925925925926;0,64;0,6153846153846153;100,0
gaming;0,6344086021505376;0,6483516483516484;0,641304347826087;91,0
memberships;0,5511811023622047;0,693069306930693;0,6140350877192982;101,0
music;0,9176470588235294;0,8297872340425532;0,871508379888268;94,0
pfps;0,6893203883495146;0,71;0,6995073891625615;100,0
photography;0,9397590361445783;0,7959183673469388;0,8618784530386742;98,0
virtual-worlds;0,775;0,6526315789473685;0,7085714285714285;95,0
accuracy;0,7098674521354934;0,7098674521354934;0,7098674521354934;0,7098674521354934
macro avg;0,7285583972032796;0,7099654479456002;0,716027100227276;679,0
weighted avg;0,7269101344625519;0,7098674521354934;0,7151187066098876;679,0
