;precision;recall;f1-score;support
art;0,6526315789473685;0,62;0,635897435897436;100,0
gaming;0,6185567010309279;0,6593406593406593;0,6382978723404256;91,0
memberships;0,5669291338582677;0,7128712871287128;0,631578947368421;101,0
music;0,9186046511627907;0,8404255319148937;0,8777777777777779;94,0
pfps;0,6666666666666666;0,72;0,6923076923076923;100,0
photography;0,9204545454545454;0,826530612244898;0,870967741935484;98,0
virtual-worlds;0,8205128205128205;0,6736842105263158;0,7398843930635838;95,0
accuracy;0,7216494845360825;0,7216494845360825;0,7216494845360825;0,7216494845360825
macro avg;0,7377651568047695;0,7218360430222114;0,7266731229558314;679,0
weighted avg;0,7363481995397182;0,7216494845360825;0,7258469220169824;679,0
