;precision;recall;f1-score;support
art;0,6;0,63;0,6146341463414634;100,0
gaming;0,5714285714285714;0,6593406593406593;0,6122448979591836;91,0
memberships;0,575;0,6831683168316832;0,6244343891402716;101,0
music;0,8695652173913043;0,851063829787234;0,8602150537634409;94,0
pfps;0,6458333333333334;0,62;0,6326530612244898;100,0
photography;0,9285714285714286;0,7959183673469388;0,8571428571428572;98,0
virtual-worlds;0,7922077922077922;0,6421052631578947;0,7093023255813953;95,0
accuracy;0,6966126656848306;0,6966126656848306;0,6966126656848306;0,6966126656848306
macro avg;0,7118009061332042;0,6973709194949157;0,701518104450443;679,0
weighted avg;0,7108353520292433;0,6966126656848306;0,7006698317496972;679,0
