;precision;recall;f1-score;support
art;0,6494845360824743;0,63;0,6395939086294417;100,0
gaming;0,6018518518518519;0,7142857142857143;0,6532663316582915;91,0
memberships;0,5793650793650794;0,7227722772277227;0,643171806167401;101,0
music;0,8764044943820225;0,8297872340425532;0,8524590163934426;94,0
pfps;0,7254901960784313;0,74;0,7326732673267328;100,0
photography;0,9310344827586207;0,826530612244898;0,8756756756756757;98,0
virtual-worlds;0,8571428571428571;0,631578947368421;0,7272727272727273;95,0
accuracy;0,727540500736377;0,727540500736377;0,727540500736377;0,727540500736377
macro avg;0,745824785380191;0,7278506835956157;0,732016104731959;679,0
weighted avg;0,7449688335218093;0,727540500736377;0,7314765523527812;679,0
