;precision;recall;f1-score;support
art;0,6326530612244898;0,62;0,6262626262626263;100,0
gaming;0,5656565656565656;0,6153846153846154;0,5894736842105263;91,0
memberships;0,575;0,6831683168316832;0,6244343891402716;101,0
music;0,8791208791208791;0,851063829787234;0,8648648648648649;94,0
pfps;0,6470588235294118;0,66;0,6534653465346535;100,0
photography;0,9186046511627907;0,8061224489795918;0,858695652173913;98,0
virtual-worlds;0,7951807228915663;0,6947368421052632;0,7415730337078653;95,0
accuracy;0,7039764359351989;0,7039764359351989;0,7039764359351989;0,7039764359351989
macro avg;0,7161821005122434;0,7043537218697697;0,7083956566992459;679,0
weighted avg;0,7153515803772498;0,7039764359351989;0,7077786233558783;679,0
