;precision;recall;f1-score;support
art;0,57;0,57;0,57;100,0
gaming;0,6055045871559633;0,7252747252747253;0,66;91,0
memberships;0,5726495726495726;0,6633663366336634;0,6146788990825689;101,0
music;0,9113924050632911;0,7659574468085106;0,8323699421965318;94,0
pfps;0,6944444444444444;0,75;0,721153846153846;100,0
photography;0,8823529411764706;0,7653061224489796;0,8196721311475409;98,0
virtual-worlds;0,6790123456790124;0,5789473684210527;0,6250000000000001;95,0
accuracy;0,6877761413843888;0,6877761413843888;0,6877761413843888;0,6877761413843888
macro avg;0,7021937565955364;0,6884074285124188;0,6918392597972124;679,0
weighted avg;0,7010760174727445;0,6877761413843888;0,6910214975576687;679,0
