;precision;recall;f1-score;support
art;0,5480769230769231;0,57;0,5588235294117646;100,0
gaming;0,6274509803921569;0,7032967032967034;0,6632124352331606;91,0
memberships;0,5528455284552846;0,6732673267326733;0,6071428571428571;101,0
music;0,8875;0,7553191489361702;0,8160919540229885;94,0
pfps;0,6260869565217392;0,72;0,6697674418604651;100,0
photography;0,9240506329113924;0,7448979591836735;0,824858757062147;98,0
virtual-worlds;0,7236842105263158;0,5789473684210527;0,6432748538011696;95,0
accuracy;0,6774668630338734;0,6774668630338734;0,6774668630338734;0,6774668630338734
macro avg;0,698527890269116;0,6779612152243247;0,6833102612192218;679,0
weighted avg;0,6967360641750409;0,6774668630338734;0,6821690284038756;679,0
