;precision;recall;f1-score;support
art;0,5363636363636364;0,59;0,5619047619047618;100,0
gaming;0,6146788990825688;0,7362637362637363;0,6699999999999999;91,0
memberships;0,5666666666666667;0,6732673267326733;0,6153846153846154;101,0
music;0,9125;0,776595744680851;0,8390804597701149;94,0
pfps;0,6542056074766355;0,7;0,6763285024154588;100,0
photography;0,9367088607594937;0,7551020408163265;0,8361581920903955;98,0
virtual-worlds;0,7162162162162162;0,5578947368421052;0,6272189349112426;95,0
accuracy;0,6833578792341679;0,6833578792341679;0,6833578792341679;0,6833578792341679
macro avg;0,7053342695093168;0,6841605121908133;0,6894393523537985;679,0
weighted avg;0,7037393909114068;0,6833578792341679;0,6882916604502001;679,0
