;precision;recall;f1-score;support
art;0,7142857142857143;0,6;0,6521739130434783;100,0
gaming;0,6292134831460674;0,6153846153846154;0,6222222222222222;91,0
memberships;0,5658914728682171;0,7227722772277227;0,6347826086956522;101,0
music;0,8888888888888888;0,851063829787234;0,8695652173913044;94,0
pfps;0,6822429906542056;0,73;0,7053140096618358;100,0
photography;0,9021739130434783;0,8469387755102041;0,8736842105263158;98,0
virtual-worlds;0,7386363636363636;0,6842105263157895;0,7103825136612022;95,0
accuracy;0,7216494845360825;0,7216494845360825;0,7216494845360825;0,7216494845360825
macro avg;0,7316189752175621;0,7214814320322237;0,7240178136002874;679,0
weighted avg;0,7307884974952062;0,7216494845360825;0,7236091013773053;679,0
