;precision;recall;f1-score;support
art;0,62;0,62;0,62;100,0
gaming;0,6632653061224489;0,7142857142857143;0,6878306878306879;91,0
memberships;0,6260869565217392;0,7128712871287128;0,6666666666666666;101,0
music;0,8;0,8085106382978723;0,8042328042328043;94,0
pfps;0,75;0,69;0,71875;100,0
photography;0,8602150537634409;0,8163265306122449;0,837696335078534;98,0
virtual-worlds;0,6395348837209303;0,5789473684210527;0,6077348066298343;95,0
accuracy;0,7054491899852725;0,7054491899852725;0,7054491899852725;0,7054491899852725
macro avg;0,7084431714469371;0,7058487912493712;0,7061301857769323;679,0
weighted avg;0,7081720393050723;0,7054491899852725;0,7057847672921062;679,0
