;precision;recall;f1-score;support
art;0,5913978494623656;0,55;0,5699481865284974;100,0
gaming;0,627906976744186;0,5934065934065934;0,6101694915254238;91,0
memberships;0,5892857142857143;0,6534653465346535;0,6197183098591549;101,0
music;0,8791208791208791;0,851063829787234;0,8648648648648649;94,0
pfps;0,6486486486486487;0,72;0,6824644549763034;100,0
photography;0,9111111111111111;0,8367346938775511;0,8723404255319148;98,0
virtual-worlds;0,6875;0,6947368421052632;0,6910994764397906;95,0
accuracy;0,6995581737849779;0,6995581737849779;0,6995581737849779;0,6995581737849779
macro avg;0,7049958827675579;0,6999153293873279;0,7015150299608498;679,0
weighted avg;0,7038303289601341;0,6995581737849779;0,7007354144864114;679,0
