;precision;recall;f1-score;support
art;0,5957446808510638;0,56;0,577319587628866;100,0
gaming;0,6590909090909091;0,6373626373626373;0,64804469273743;91,0
memberships;0,5317460317460317;0,6633663366336634;0,5903083700440528;101,0
music;0,9135802469135802;0,7872340425531915;0,8457142857142856;94,0
pfps;0,6788990825688074;0,74;0,7081339712918661;100,0
photography;0,9058823529411765;0,7857142857142857;0,8415300546448088;98,0
virtual-worlds;0,6458333333333334;0,6526315789473685;0,6492146596858639;95,0
accuracy;0,6892488954344624;0,6892488954344624;0,6892488954344624;0,6892488954344624
macro avg;0,7043966624921288;0,6894726973158781;0,6943236602495961;679,0
weighted avg;0,7027322220035164;0,6892488954344624;0,69334469688972;679,0
