;precision;recall;f1-score;support
art;0,6483516483516484;0,59;0,6178010471204188;100,0
gaming;0,5607476635514018;0,6593406593406593;0,6060606060606061;91,0
memberships;0,6203703703703703;0,6633663366336634;0,6411483253588517;101,0
music;0,865979381443299;0,8936170212765957;0,8795811518324608;94,0
pfps;0,6741573033707865;0,6;0,6349206349206349;100,0
photography;0,9021739130434783;0,8469387755102041;0,8736842105263158;98,0
virtual-worlds;0,7263157894736842;0,7263157894736842;0,7263157894736842;95,0
accuracy;0,7098674521354934;0,7098674521354934;0,7098674521354934;0,7098674521354934
macro avg;0,7140137242292383;0,7113683688906866;0,7113588236132818;679,0
weighted avg;0,7139196543398519;0,7098674521354934;0,7105763551114799;679,0
