;precision;recall;f1-score;support
art;0,6521739130434783;0,6;0,6250000000000001;100,0
gaming;0,5922330097087378;0,6703296703296703;0,6288659793814432;91,0
memberships;0,5929203539823009;0,6633663366336634;0,6261682242990655;101,0
music;0,8901098901098901;0,8617021276595744;0,8756756756756756;94,0
pfps;0,7272727272727273;0,64;0,6808510638297872;100,0
photography;0,9;0,826530612244898;0,8617021276595744;98,0
virtual-worlds;0,6666666666666666;0,7157894736842105;0,6903553299492386;95,0
accuracy;0,7098674521354934;0,7098674521354934;0,7098674521354934;0,7098674521354934
macro avg;0,7173395086834002;0,7111026029360025;0,7126597715421121;679,0
weighted avg;0,7171229553328292;0,7098674521354934;0,7119278049046025;679,0
