;precision;recall;f1-score;support
art;0,6363636363636364;0,56;0,5957446808510639;100,0
gaming;0,6428571428571429;0,6923076923076923;0,6666666666666666;91,0
memberships;0,6388888888888888;0,6831683168316832;0,6602870813397128;101,0
music;0,7835051546391752;0,8085106382978723;0,7958115183246073;94,0
pfps;0,6989247311827957;0,65;0,6735751295336787;100,0
photography;0,8602150537634409;0,8163265306122449;0,837696335078534;98,0
virtual-worlds;0,5980392156862745;0,6421052631578947;0,6192893401015229;95,0
accuracy;0,6921944035346097;0,6921944035346097;0,6921944035346097;0,6921944035346097
macro avg;0,6941134033401936;0,6932026344581982;0,6927243931279695;679,0
weighted avg;0,6941397641053265;0,6921944035346097;0,6922248214879323;679,0
