;precision;recall;f1-score;support
art;0,6847826086956522;0,63;0,6562500000000001;100,0
gaming;0,59;0,6483516483516484;0,6178010471204188;91,0
memberships;0,6416666666666667;0,7623762376237624;0,6968325791855203;101,0
music;0,8876404494382022;0,8404255319148937;0,8633879781420766;94,0
pfps;0,693069306930693;0,7;0,6965174129353233;100,0
photography;0,8764044943820225;0,7959183673469388;0,8342245989304812;98,0
virtual-worlds;0,7613636363636364;0,7052631578947368;0,7322404371584699;95,0
accuracy;0,7260677466863034;0,7260677466863034;0,7260677466863034;0,7260677466863034
macro avg;0,7335610232109818;0,7260478490188543;0,7281791504960415;679,0
weighted avg;0,7333415508794441;0,7260677466863034;0,7280589826948822;679,0
