;precision;recall;f1-score;support
art;0,6666666666666666;0,56;0,6086956521739131;100,0
gaming;0,6344086021505376;0,6483516483516484;0,641304347826087;91,0
memberships;0,5765765765765766;0,6336633663366337;0,6037735849056604;101,0
music;0,8217821782178217;0,8829787234042553;0,8512820512820514;94,0
pfps;0,6796116504854369;0,7;0,6896551724137931;100,0
photography;0,8709677419354839;0,826530612244898;0,8481675392670157;98,0
virtual-worlds;0,6702127659574468;0,6631578947368421;0,6666666666666666;95,0
accuracy;0,7010309278350515;0,7010309278350515;0,7010309278350515;0,7010309278350515
macro avg;0,7028894545699957;0,7020974635820396;0,7013635735050269;679,0
weighted avg;0,7023060750710657;0,7010309278350515;0,7005142491729455;679,0
