;precision;recall;f1-score;support
art;0,6363636363636364;0,63;0,6331658291457286;100,0
gaming;0,5360824742268041;0,5714285714285714;0,553191489361702;91,0
memberships;0,5925925925925926;0,6336633663366337;0,6124401913875598;101,0
music;0,8723404255319149;0,8723404255319149;0,8723404255319149;94,0
pfps;0,6881720430107527;0,64;0,6632124352331608;100,0
photography;0,9411764705882353;0,8163265306122449;0,8743169398907105;98,0
virtual-worlds;0,6893203883495146;0,7473684210526316;0,7171717171717172;95,0
accuracy;0,7010309278350515;0,7010309278350515;0,7010309278350515;0,7010309278350515
macro avg;0,7080068615233502;0,7015896164231424;0,7036912896746419;679,0
weighted avg;0,708114368121916;0,7010309278350515;0,7034596237710605;679,0
