;precision;recall;f1-score;support
art;0,6363636363636364;0,56;0,5957446808510639;100,0
gaming;0,65;0,5714285714285714;0,6081871345029239;91,0
memberships;0,576;0,7128712871287128;0,6371681415929205;101,0
music;0,8602150537634409;0,851063829787234;0,8556149732620322;94,0
pfps;0,6415094339622641;0,68;0,6601941747572816;100,0
photography;0,9101123595505618;0,826530612244898;0,8663101604278074;98,0
virtual-worlds;0,6326530612244898;0,6526315789473685;0,6424870466321244;95,0
accuracy;0,6936671575846833;0,6936671575846833;0,6936671575846833;0,6936671575846833
macro avg;0,7009790778377704;0,6935036970766836;0,695100901718022;679,0
weighted avg;0,6999507719272976;0,6936671575846833;0,6946323560237018;679,0
