;precision;recall;f1-score;support
art;0,6162790697674418;0,53;0,5698924731182796;100,0
gaming;0,6428571428571429;0,6923076923076923;0,6666666666666666;91,0
memberships;0,5210084033613446;0,6138613861386139;0,5636363636363637;101,0
music;0,9024390243902439;0,7872340425531915;0,8409090909090909;94,0
pfps;0,6542056074766355;0,7;0,6763285024154588;100,0
photography;0,8764044943820225;0,7959183673469388;0,8342245989304812;98,0
virtual-worlds;0,6020408163265306;0,6210526315789474;0,6113989637305699;95,0
accuracy;0,6759941089837997;0,6759941089837997;0,6759941089837997;0,6759941089837997
macro avg;0,6878906512230517;0,6771963028464834;0,6804366656295586;679,0
weighted avg;0,6864228317482255;0,6759941089837997;0,6790845415940487;679,0
