;precision;recall;f1-score;support
art;0,6041666666666666;0,58;0,5918367346938774;100,0
gaming;0,5684210526315789;0,5934065934065934;0,5806451612903225;91,0
memberships;0,559322033898305;0,6534653465346535;0,6027397260273972;101,0
music;0,8888888888888888;0,851063829787234;0,8695652173913044;94,0
pfps;0,7222222222222222;0,65;0,6842105263157895;100,0
photography;0,8863636363636364;0,7959183673469388;0,8387096774193548;98,0
virtual-worlds;0,6470588235294118;0,6947368421052632;0,6700507614213198;95,0
accuracy;0,6877761413843888;0,6877761413843888;0,6877761413843888;0,6877761413843888
macro avg;0,6966347606001014;0,6883701398829547;0,691108257794195;679,0
weighted avg;0,696239337638553;0,6877761413843888;0,6905856395641501;679,0
