;precision;recall;f1-score;support
art;0,574468085106383;0,54;0,5567010309278351;100,0
gaming;0,625;0,7142857142857143;0,6666666666666666;91,0
memberships;0,5892857142857143;0,6534653465346535;0,6197183098591549;101,0
music;0,8461538461538461;0,8191489361702128;0,8324324324324325;94,0
pfps;0,717391304347826;0,66;0,6875;100,0
photography;0,8791208791208791;0,8163265306122449;0,8465608465608465;98,0
virtual-worlds;0,6631578947368421;0,6631578947368421;0,6631578947368421;95,0
accuracy;0,6936671575846833;0,6936671575846833;0,6936671575846833;0,6936671575846833
macro avg;0,6992253891073558;0,6951977746199526;0,6961053115976824;679,0
weighted avg;0,6984846889257522;0,6936671575846833;0,6949778065785515;679,0
