;precision;recall;f1-score;support
art;0,6666666666666666;0,58;0,6203208556149732;100,0
gaming;0,6588235294117647;0,6153846153846154;0,6363636363636365;91,0
memberships;0,576;0,7128712871287128;0,6371681415929205;101,0
music;0,8791208791208791;0,851063829787234;0,8648648648648649;94,0
pfps;0,6868686868686869;0,68;0,6834170854271356;100,0
photography;0,9157894736842105;0,8877551020408163;0,9015544041450776;98,0
virtual-worlds;0,6804123711340206;0,6947368421052632;0,6875;95,0
accuracy;0,7172312223858616;0,7172312223858616;0,7172312223858616;0,7172312223858616
macro avg;0,7233830866980326;0,717401668063806;0,7187412840012298;679,0
weighted avg;0,7223952619236423;0,7172312223858616;0,7181133964914604;679,0
