;precision;recall;f1-score;support
art;0,5137614678899083;0,56;0,5358851674641149;100,0
gaming;0,4424778761061947;0,5494505494505495;0,4901960784313726;91,0
memberships;0,4791666666666667;0,6831683168316832;0,563265306122449;101,0
music;0,8390804597701149;0,776595744680851;0,8066298342541435;94,0
pfps;0,5087719298245614;0,29;0,36942675159235666;100,0
photography;0,8767123287671232;0,6530612244897959;0,7485380116959064;98,0
virtual-worlds;0,5833333333333334;0,5894736842105263;0,5863874345549739;95,0
accuracy;0,5846833578792342;0,5846833578792342;0,5846833578792342;0,5846833578792342
macro avg;0,6061862946225575;0,5859642170947722;0,5857612263021882;679,0
weighted avg;0,6054826184605002;0,5846833578792342;0,5845590085568192;679,0
