;precision;recall;f1-score;support
art;0,4491525423728814;0,53;0,48623853211009177;100,0
gaming;0,45185185185185184;0,6703296703296703;0,5398230088495575;91,0
memberships;0,4824561403508772;0,5445544554455446;0,5116279069767442;101,0
music;0,7227722772277227;0,776595744680851;0,7487179487179487;94,0
pfps;0,46153846153846156;0,24;0,3157894736842105;100,0
photography;0,7777777777777778;0,6428571428571429;0,7039106145251396;98,0
virtual-worlds;0,5384615384615384;0,4421052631578947;0,4855491329479769;95,0
accuracy;0,5463917525773195;0,5463917525773195;0,5463917525773195;0,5463917525773195
macro avg;0,5548586556544445;0,5494917537815862;0,5416652311159528;679,0
weighted avg;0,5540977194706417;0,5463917525773195;0,5397511163805593;679,0
