;precision;recall;f1-score;support
art;0,42063492063492064;0,53;0,4690265486725664;100,0
gaming;0,39705882352941174;0,5934065934065934;0,47577092511013214;91,0
memberships;0,44036697247706424;0,4752475247524752;0,45714285714285713;101,0
music;0,6434782608695652;0,7872340425531915;0,7081339712918661;94,0
pfps;0,5;0,26;0,34210526315789475;100,0
photography;0,7692307692307693;0,5102040816326531;0,6134969325153374;98,0
virtual-worlds;0,5394736842105263;0,43157894736842106;0,4795321637426901;95,0
accuracy;0,5095729013254786;0,5095729013254786;0,5095729013254786;0,5095729013254786
macro avg;0,5300347758503224;0,5125244556733334;0,5064583802333348;679,0
weighted avg;0,5298887792801275;0,5095729013254786;0,5048933905493236;679,0
