;precision;recall;f1-score;support
art;0,46956521739130436;0,54;0,5023255813953489;100,0
gaming;0,45517241379310347;0,7252747252747253;0,559322033898305;91,0
memberships;0,48148148148148145;0,38613861386138615;0,42857142857142855;101,0
music;0,6851851851851852;0,7872340425531915;0,7326732673267328;94,0
pfps;0,5490196078431373;0,28;0,3708609271523179;100,0
photography;0,7317073170731707;0,6122448979591837;0,6666666666666666;98,0
virtual-worlds;0,4536082474226804;0,4631578947368421;0,45833333333333326;95,0
accuracy;0,5375552282768777;0,5375552282768777;0,5375552282768777;0,5375552282768777
macro avg;0,5465342100271517;0,5420071677693328;0,5312504626205905;679,0
weighted avg;0,5465630482974654;0,5375552282768777;0,529085356927746;679,0
