;precision;recall;f1-score;support
art;0,45081967213114754;0,55;0,49549549549549554;100,0
gaming;0,427536231884058;0,6483516483516484;0,5152838427947598;91,0
memberships;0,5169491525423728;0,6039603960396039;0,5570776255707761;101,0
music;0,7156862745098039;0,776595744680851;0,7448979591836735;94,0
pfps;0,4918032786885246;0,3;0,3726708074534162;100,0
photography;0,8305084745762712;0,5;0,6242038216560509;98,0
virtual-worlds;0,5569620253164557;0,4631578947368421;0,5057471264367815;95,0
accuracy;0,5463917525773195;0,5463917525773195;0,5463917525773195;0,5463917525773195
macro avg;0,5700378728069476;0,5488665262584208;0,545053811227279;679,0
weighted avg;0,569890558626886;0,5463917525773195;0,5437564946523052;679,0
