;precision;recall;f1-score;support
art;0,4351851851851852;0,47;0,4519230769230769;100,0
gaming;0,3969465648854962;0,5714285714285714;0,46846846846846846;91,0
memberships;0,4;0,5742574257425742;0,47154471544715443;101,0
music;0,8734177215189873;0,7340425531914894;0,7976878612716763;94,0
pfps;0,44285714285714284;0,31;0,36470588235294116;100,0
photography;0,9137931034482759;0,5408163265306123;0,6794871794871796;98,0
virtual-worlds;0,5454545454545454;0,5052631578947369;0,5245901639344263;95,0
accuracy;0,5272459499263623;0,5272459499263623;0,5272459499263623;0,5272459499263623
macro avg;0,5725220376213761;0,5294011478268549;0,536915335412132;679,0
weighted avg;0,5711304005710024;0,5272459499263623;0,5350927996192146;679,0
