;precision;recall;f1-score;support
art;0,456;0,57;0,5066666666666666;100,0
gaming;0,4407894736842105;0,7362637362637363;0,5514403292181069;91,0
memberships;0,4728682170542636;0,6039603960396039;0,5304347826086956;101,0
music;0,7931034482758621;0,7340425531914894;0,7624309392265194;94,0
pfps;0,4222222222222222;0,19;0,2620689655172414;100,0
photography;0,775;0,6326530612244898;0,6966292134831462;98,0
virtual-worlds;0,6229508196721312;0,4;0,4871794871794871;95,0
accuracy;0,5493372606774669;0,5493372606774669;0,5493372606774669;0,5493372606774669
macro avg;0,5689905972726699;0,5524171066741885;0,5424071976999805;679,0
weighted avg;0,5675637794650213;0,5493372606774669;0,5402780098842551;679,0
