;precision;recall;f1-score;support
art;0,4573643410852713;0,59;0,5152838427947598;100,0
gaming;0,40816326530612246;0,43956043956043955;0,42328042328042326;91,0
memberships;0,48175182481751827;0,6534653465346535;0,5546218487394958;101,0
music;0,8734177215189873;0,7340425531914894;0,7976878612716763;94,0
pfps;0,546875;0,35;0,4268292682926829;100,0
photography;0,8636363636363636;0,5816326530612245;0,6951219512195121;98,0
virtual-worlds;0,5849056603773585;0,6526315789473685;0,6169154228855722;95,0
accuracy;0,5714285714285714;0,5714285714285714;0,5714285714285714;0,5714285714285714
macro avg;0,602302025248803;0,5716189387564536;0,5756772312120175;679,0
weighted avg;0,6016603722429325;0,5714285714285714;0,575048912670296;679,0
