;precision;recall;f1-score;support
art;0,44776119402985076;0,6;0,5128205128205128;100,0
gaming;0,4444444444444444;0,4835164835164835;0,46315789473684205;91,0
memberships;0,4928571428571429;0,6831683168316832;0,5726141078838174;101,0
music;0,8607594936708861;0,723404255319149;0,7861271676300579;94,0
pfps;0,5409836065573771;0,33;0,4099378881987578;100,0
photography;0,8;0,5306122448979592;0,638036809815951;98,0
virtual-worlds;0,6138613861386139;0,6526315789473685;0,6326530612244898;95,0
accuracy;0,5714285714285714;0,5714285714285714;0,5714285714285714;0,5714285714285714
macro avg;0,600095323956902;0,5719046970732348;0,5736210631872041;679,0
weighted avg;0,5990069514285277;0,5714285714285714;0,5725814953678356;679,0
