;precision;recall;f1-score;support
art;0,41509433962264153;0,44;0,42718446601941745;100,0
gaming;0,3897058823529412;0,5824175824175825;0,4669603524229075;91,0
memberships;0,3945578231292517;0,5742574257425742;0,46774193548387094;101,0
music;0,8607594936708861;0,723404255319149;0,7861271676300579;94,0
pfps;0,4153846153846154;0,27;0,32727272727272727;100,0
photography;0,9473684210526315;0,5510204081632653;0,6967741935483871;98,0
virtual-worlds;0,5168539325842697;0,4842105263157895;0,5;95,0
accuracy;0,5154639175257731;0,5154639175257731;0,5154639175257731;0,5154639175257731
macro avg;0,5628177868281766;0,5179014568511944;0,524580120339624;679,0
weighted avg;0,5614375437328786;0,5154639175257731;0,5226227858741347;679,0
