;precision;recall;f1-score;support
art;0,24242424242424243;0,24;0,24120603015075376;100,0
gaming;0,30337078651685395;0,2967032967032967;0,3;91,0
memberships;0,33663366336633666;0,33663366336633666;0,33663366336633666;101,0
music;0,43137254901960786;0,46808510638297873;0,4489795918367347;94,0
pfps;0,24210526315789474;0,23;0,23589743589743592;100,0
photography;0,3617021276595745;0,3469387755102041;0,35416666666666663;98,0
virtual-worlds;0,32323232323232326;0,3368421052631579;0,3298969072164949;95,0
accuracy;0,32106038291605304;0,32106038291605304;0,32106038291605304;0,32106038291605304
macro avg;0,3201201364824048;0,3221718496037106;0,32096861359063183;679,0
weighted avg;0,31923798373608187;0,32106038291605304;0,31997491569421554;679,0
