;precision;recall;f1-score;support
art;0,22330097087378642;0,23;0,22660098522167488;100,0
gaming;0,3076923076923077;0,3076923076923077;0,3076923076923077;91,0
memberships;0,2696629213483146;0,2376237623762376;0,25263157894736843;101,0
music;0,4945054945054945;0,4787234042553192;0,4864864864864865;94,0
pfps;0,23140495867768596;0,28;0,2533936651583711;100,0
photography;0,37755102040816324;0,37755102040816324;0,37755102040816324;98,0
virtual-worlds;0,313953488372093;0,28421052631578947;0,29834254143646405;95,0
accuracy;0,3122238586156112;0,3122238586156112;0,3122238586156112;0,3122238586156112
macro avg;0,3168673088396922;0,3136858601496882;0,3146712264786908;679,0
weighted avg;0,3151924092639063;0,3122238586156112;0,31308913943723504;679,0
