;precision;recall;f1-score;support
art;0,37254901960784315;0,38;0,37623762376237624;100,0
gaming;0,32608695652173914;0,32967032967032966;0,32786885245901637;91,0
memberships;0,3076923076923077;0,31683168316831684;0,31219512195121946;101,0
music;0,5168539325842697;0,48936170212765956;0,5027322404371584;94,0
pfps;0,3116883116883117;0,24;0,2711864406779661;100,0
photography;0,38392857142857145;0,4387755102040816;0,4095238095238095;98,0
virtual-worlds;0,2815533980582524;0,30526315789473685;0,29292929292929293;95,0
accuracy;0,35640648011782033;0,35640648011782033;0,35640648011782033;0,35640648011782033
macro avg;0,35719321394018505;0,35712891186644635;0,3560961973915484;679,0
weighted avg;0,3566000172731548;0,35640648011782033;0,3554177114839277;679,0
