;precision;recall;f1-score;support
art;0,3;0,3;0,3;100,0
gaming;0,375;0,32967032967032966;0,3508771929824562;91,0
memberships;0,3162393162393162;0,36633663366336633;0,33944954128440363;101,0
music;0,5;0,46808510638297873;0,4835164835164835;94,0
pfps;0,211864406779661;0,25;0,2293577981651376;100,0
photography;0,35802469135802467;0,29591836734693877;0,324022346368715;98,0
virtual-worlds;0,35789473684210527;0,35789473684210527;0,35789473684210527;95,0
accuracy;0,33726067746686306;0,33726067746686306;0,33726067746686306;0,33726067746686306
macro avg;0,34557473588844384;0,338272167700817;0,34073115702275736;679,0
weighted avg;0,3436495307381789;0,33726067746686306;0,3392558872493749;679,0
